@relation rfm-weka.filters.unsupervised.attribute.Remove-R1

@attribute r numeric
@attribute f numeric
@attribute m numeric

@data
112,2,50
276,1,19.8
217,12,35.4
298,1,90
1,4,30
28,3,135.2
9,2,35.4
44,5,60
66,8,85
73,1,23.4
64,2,70.8
237,2,23.4
121,1,81.6
31,13,59.4
35,2,32.7
15,5,40.8
126,1,30.24
66,1,83.4
148,1,25.2
282,1,165
168,2,38.25
99,7,62.5
134,1,29.7
323,1,23.6
106,1,17.4
63,1,29.7
150,2,63.75
337,1,39.8
6,15,43.35
56,2,39.8
3,2,35.4
37,1,24.9
65,1,8.5
46,1,45
354,1,26.1
171,1,25.5
58,9,39.6
49,1,114.75
21,2,90
42,5,135
28,3,99.84
4,18,149.76
200,1,15.95
50,6,175.2
9,3,27.04
63,1,34.8
289,1,35.4
60,8,76.5
63,3,102
95,1,22.5
273,1,25.5
74,4,81.6
109,1,52
198,1,25.2
63,2,34.8
326,1,165
3,1,47.4
283,1,25.5
43,1,69.6
70,3,92.5
85,1,40.56
103,1,20.4
333,1,27.04
52,1,38.25
38,3,76.5
365,4,122.4
207,1,180
156,3,20.65
53,1,15
65,2,23.6
80,1,180
129,1,30.6
86,1,31.8
0,3,51
45,1,30
332,1,19.75
365,1,120
71,1,30
157,2,38.25
372,1,25.2
11,7,50.4
254,2,76.5
28,2,47.7
30,10,35.4
4,22,79
39,1,50.4
361,1,203.52
372,1,39.6
25,7,99.6
74,2,30
56,4,71.4
136,1,179
7,12,102
128,1,91.8
39,3,34.8
168,7,70.8
14,6,71.4
169,2,39.6
39,1,157.92
185,1,23.4
269,1,23.4
4,4,83.4
15,2,40.56
9,4,76.5
325,1,17.85
112,1,68
289,1,17.85
15,2,35.7
0,3,49.92
91,5,105
148,2,45.36
188,1,102
30,2,47.7
33,4,195
263,1,22.5
83,8,118.8
25,4,51
170,1,102
9,3,59.4
312,1,31.2
64,4,153
84,1,20.8
24,1,36
58,4,31.8
322,2,22.5
37,1,36
253,2,60.48
18,5,81.36
32,3,34.68
14,1,22.5
26,2,35.4
22,1,30.6
213,2,16.5
7,5,60
21,1,12.5
11,3,22.5
261,1,22.95
130,1,17.4
54,3,42.5
1,7,50.15
8,2,27.04
263,1,30
330,1,25.5
312,1,34.8
25,3,31.2
29,1,27
29,3,25.2
1,7,30
361,1,21.9
282,3,30.24
261,1,19.9
24,1,39.6
353,1,13.2
93,3,45
28,1,30.6
337,1,59.9
84,1,19.8
8,3,46.8
50,2,25.2
49,2,83.2
1,1,81.6
112,1,16.6
76,1,47.8
39,2,118.8
115,1,89.25
160,4,17.4
0,4,118.8
29,3,204
92,1,76.32
22,3,60.84
94,6,88.8
27,2,50
32,5,51
20,2,59.4
2,27,141.6
7,4,35.4
362,1,9.95
80,1,7.5
52,5,177
22,3,60
171,1,29.85
188,6,45
11,5,38.25
155,2,23.4
44,3,8.67
232,1,30.6
63,8,37.5
1,1,34.68
32,2,39.84
1,3,29.85
32,2,119.4
18,8,91.8
253,1,58
22,11,59.4
21,4,51
7,2,54.75
24,4,35.4
18,3,79.2
172,4,30
162,1,19.8
6,1,61.2
10,1,30
113,1,8.85
287,1,11.8
8,9,33.2
53,2,23.25
6,14,201.6
76,3,124.8
3,4,39.6
36,1,40.56
216,1,15
59,1,26.55
277,1,19.9
11,16,76.5
23,1,50
28,1,90
11,4,118.8
351,1,134.55
21,4,59.4
49,2,30.6
18,1,99.84
2,3,99.6
6,12,45
11,4,89.25
4,7,195
31,2,38.25
177,4,38.25
150,3,24.9
161,1,39.6
68,2,25
24,3,35.4
23,4,45
176,1,39.6
255,3,30
46,1,60
70,1,83.4
15,5,39.6
100,5,39.8
34,1,30.6
52,1,24.96
26,2,35.4
10,14,71.4
7,9,93.6
78,1,34.56
51,1,29.88
35,5,50.4
60,9,90
336,1,17
27,4,107.28
183,1,30
51,1,25
35,2,89.25
9,23,122.04
32,4,30
10,1,145
56,3,31.6
42,9,49.95
140,1,19.9
116,4,35.4
103,4,69.6
74,2,39.8
4,9,66
44,2,59.8
15,8,79.2
16,1,29.7
89,2,71.6
52,1,30
133,1,39.8
104,4,59.4
191,3,66.4
165,4,22.95
18,1,81.6
157,3,22.5
203,2,58
36,3,85.92
90,1,49.8
8,2,111.3
242,1,25.5
44,4,30
22,1,30
189,5,76.5
43,1,49.5
24,9,47.2
316,2,174
105,1,23.4
50,1,40.56
167,2,71.4
39,1,41.4
217,1,76.32
39,4,85.92
296,1,19.8
87,4,110.5
80,3,27.36
18,3,63.6
48,1,44.55
52,1,62.4
23,4,33
8,3,62.4
24,5,68
116,1,40.8
8,9,51
119,2,81
3,2,46.8
251,1,91.8
27,1,24.9
266,2,38.25
32,8,59.95
17,1,29.95
171,2,40.8
1,4,29.95
264,1,107.1
139,4,118.8
200,1,60
63,4,102
34,4,45
40,7,65.4
283,1,38.16
8,5,101.76
142,2,53.1
11,2,41.6
145,4,81.6
233,1,35.4
32,13,39
23,1,62.4
11,1,70.8
364,1,29.85
200,2,35.7
14,1,33
212,1,23
65,3,33
211,2,39
282,1,19.8
114,2,207.5
14,8,41.6
18,16,98.1
65,1,107.28
48,1,28.08
15,4,35.7
77,1,13.92
18,4,59.4
133,1,18.75
12,3,69.6
39,1,19.5
2,8,40.8
39,7,50.4
304,1,79.2
50,3,25.2
9,6,35.4
60,4,12.75
65,2,35.7
24,1,34
217,3,68
64,2,25.5
31,2,79.9
87,6,178.75
63,1,61.2
68,1,25.5
244,1,17.7
132,1,25.5
183,3,30.6
24,3,35.4
9,3,149.76
10,1,30.24
32,5,175.2
45,3,59.4
25,3,25
357,1,23.4
9,1,24.75
43,2,81
149,1,23.4
0,8,91.8
75,3,51
106,2,30
45,3,39.6
50,1,94.64
22,17,102
45,3,118.8
49,3,49.5
305,4,83.7
35,5,20.4
78,4,33.2
21,6,47.7
207,2,175.2
16,4,156.6
48,4,51
319,1,90
43,2,29.85
2,2,70.8
371,1,15
55,3,104.04
72,14,31.6
98,2,34.8
37,1,33
57,3,64.35
253,1,31.6
69,4,125
43,4,50.85
49,1,25
64,1,30
32,3,44.55
58,2,23.4
72,4,187.5
303,1,17.85
45,1,21.9
17,8,81.12
37,2,60.48
18,2,15.12
186,2,57.5
51,1,10.5
136,5,39.6
18,1,81.6
15,5,102
40,8,33.9
11,8,165
7,4,40.56
25,2,9.95
40,3,83.2
100,1,16.95
4,15,52.2
276,2,30.24
32,1,24.96
14,2,19.9
1,2,42
368,1,30
311,5,100.8
198,4,60
1,2,30.6
92,3,51
59,1,58
80,1,76.5
156,2,21.95
226,1,26.4
252,2,74.25
149,1,137.16
193,2,110.5
368,1,20
23,1,22.5
16,3,16.95
7,1,28.75
19,7,51
3,3,34.65
173,1,61.2
0,8,19.8
177,2,35.4
15,8,44.75
247,1,29.9
190,2,35.7
19,2,25.5
153,4,8.95
172,1,81.12
372,1,75.6
372,1,20.8
193,1,38.25
66,1,35.4
3,8,122.04
20,3,45
63,1,33.6
111,5,60
310,1,35.8
133,1,45
276,1,175.2
364,1,167.4
82,1,179
7,2,23.4
16,2,35.4
31,4,67.85
8,2,31.6
33,4,35.4
14,8,81.6
23,14,179
31,1,50.4
73,1,43.45
19,2,39.6
16,4,59
22,2,24.75
2,3,83.2
303,1,49.8
366,1,197.1
38,7,175.2
83,1,23.4
164,2,23.4
16,2,56.16
76,1,70.8
88,3,199.2
24,8,102
21,4,91.8
2,10,183.06
122,2,122.4
29,1,19.8
18,1,22.5
43,2,51
3,1,14.95
8,7,30
54,1,49.92
87,6,35.95
36,5,47.7
11,4,9.95
210,1,33.2
47,4,30
23,3,31.8
21,4,59
245,3,38.35
7,16,70.8
34,3,127.5
37,3,22.5
3,3,85.32
2,8,33.9
46,1,19.95
38,2,49.92
46,9,175.2
16,3,102
259,1,42.5
45,3,20.85
11,1,15.12
29,1,23.4
42,1,15.6
91,6,165
309,1,27.9
91,2,39.95
5,20,85
195,3,71.4
86,2,60.84
269,3,139.8
7,3,35.7
64,3,48.9
21,5,34.68
37,4,70.8
119,4,45
372,2,50.4
39,3,30
173,1,24.9
53,1,40.56
32,2,57.6
144,1,31.9
220,1,24.95
44,1,40.8
15,7,39.6
65,6,30
9,4,102
259,1,20.4
364,1,40.8
16,5,103.68
21,2,102
44,1,23.4
287,1,102
296,1,122.4
2,10,59.4
283,1,79.2
81,2,41.6
55,5,81.6
100,2,158.4
298,1,45.9
22,5,17.9
58,5,99.6
154,2,24.96
114,3,30
106,1,17
11,4,51
263,1,125
239,1,30
87,7,178.2
49,3,41.6
70,1,30
41,3,129
6,6,149
61,1,50.85
248,1,101.76
65,1,23.4
84,1,34.68
218,2,131.4
44,3,30
142,4,51.84
182,1,20.16
170,1,19.8
9,8,29.7
211,1,39.8
189,1,22.5
7,2,59.4
58,4,151.2
56,2,29.88
72,4,124.8
51,1,39.6
316,1,33.9
366,1,45
28,4,170
38,1,46.8
17,5,79.8
51,6,135
21,2,35.4
262,1,175.2
59,3,47.7
18,3,49.5
65,2,103.68
87,1,41.6
249,1,40.8
246,1,175.2
8,11,70.2
156,3,102
133,1,30
295,1,76.32
4,2,25.2
42,5,39.8
268,1,131.4
49,5,76.32
8,9,118.8
15,3,118.8
281,1,45
1,19,49.5
251,1,25.5
16,3,104.04
7,4,70.8
50,6,46.8
58,1,24.9
94,5,59.4
15,6,44.55
93,4,35.7
49,1,41.6
137,1,47.8
60,1,41.7
99,8,179
72,1,141.6
66,1,83.4
63,6,54.08
16,2,25.5
22,12,70.8
31,15,83.2
44,4,39.6
15,2,60
39,1,89.85
236,1,25.2
74,1,41.6
3,2,33.9
2,4,54.08
360,1,63.6
58,4,25.5
22,1,30
30,4,90
54,4,70.8
24,1,50
44,2,39.8
88,1,175.2
18,2,25.5
78,1,76.5
170,3,102
80,1,25.2
266,1,165
234,2,65.4
29,7,116
36,3,51
317,1,23.6
56,4,40.8
44,5,44.55
202,3,70.8
224,1,166.8
86,2,75
189,2,35.4
43,4,75
70,3,87.6
40,5,43
77,1,49.8
56,2,51
9,13,34
7,7,47.2
33,2,85
211,2,31.6
23,3,35.95
169,1,19.9
61,1,25.2
52,5,99
260,2,27
66,2,106.2
16,8,40.32
266,1,102
176,1,25
50,1,204
16,4,29.85
8,9,104
73,7,50
70,2,50
352,1,102
2,5,62.4
116,1,25
372,1,29.95
196,1,40.8
20,3,45
339,1,34
5,5,45
30,2,39.6
169,1,25.2
121,1,30
21,10,50.4
9,4,39.8
268,1,23.4
22,3,95.4
126,1,51
25,3,123.75
138,1,20.8
213,6,53.1
105,2,89.25
17,2,33.2
2,2,23.4
330,1,19.9
119,3,69.12
34,1,39.6
217,1,142.8
171,2,45
71,5,53.1
0,2,24.96
195,1,207.5
127,3,17.5
46,3,71.4
5,14,70.8
13,6,67.6
17,3,112.5
27,7,55.6
36,1,20
156,1,49.5
283,1,7.95
106,1,30
24,4,104
74,4,41.6
15,2,26
157,1,65.4
43,1,100
10,2,69.3
31,7,50
290,1,15.95
20,4,39.6
332,1,25.5
17,2,30.6
62,2,35.4
197,3,21.8
32,3,39.6
0,4,70.8
4,6,35.7
9,4,33.9
31,5,49.92
52,1,35.4
11,2,39.8
18,1,35.4
36,2,20.8
1,2,50.4
17,3,52.2
81,4,33.9
32,2,19.9
65,2,23.8
8,2,107.1
246,3,53.1
3,4,62.4
74,2,40.8
89,2,45.9
59,3,42.5
28,2,17.7
322,1,40.56
52,4,175.2
269,1,22.1
1,13,74.7
56,5,100.8
60,5,40.8
153,2,72
18,2,25
94,1,34.68
0,12,148.5
264,2,52.2
311,1,23.4
69,1,39.8
301,2,92.4
18,1,8.85
12,10,75
35,5,40.32
18,2,20.85
53,1,16.6
56,1,33.2
21,2,33
43,1,30
26,3,119.4
44,3,29.95
112,6,79.6
24,1,60.84
190,1,40.56
301,1,31.8
1,10,81.36
262,2,53.1
56,1,100.8
212,3,45
63,1,144
27,1,63.6
28,7,45
5,5,26.1
7,5,102
66,2,30.6
1,3,30
45,4,41.3
33,1,12.5
135,1,31.2
197,1,35.4
197,2,34.8
149,1,70.8
87,1,49.8
44,2,5.9
63,7,34.68
98,5,104
217,1,46.8
2,18,41.6
27,3,47.7
177,1,15.95
73,3,68
20,4,45
19,3,27.84
33,7,86.1
73,1,62.4
23,4,15.95
51,4,29.7
274,1,25.2
164,3,40.56
6,7,50.4
87,4,85
63,7,35.4
24,3,39.6
9,2,24.9
75,1,79.2
15,1,18.72
191,1,15.95
173,2,25.5
76,1,35.7
32,3,60
46,1,59.4
79,4,70.8
296,1,40.8
2,3,40.8
8,3,68
49,6,99
160,2,29.7
359,2,35.4
4,6,165
106,4,33.9
24,1,33
19,2,35.4
296,1,76.5
371,1,30.6
21,3,46.8
4,4,90
51,5,142.8
29,1,19.8
276,1,25
60,2,60
24,2,51
185,3,39.8
1,21,198
171,1,71.4
80,1,35.4
3,1,25.5
189,1,44.25
21,7,33.9
18,3,45
4,1,63.75
109,1,39.8
2,4,70.8
53,1,53.1
290,2,102
9,10,61.2
108,5,38.25
95,3,92.16
242,2,91.8
41,3,39.6
34,2,25.2
66,7,81.6
23,2,46.8
26,2,39.6
5,2,24.75
363,1,138
14,5,108.16
193,2,104.88
2,1,47.7
14,10,121.68
26,3,40.8
126,3,35.95
84,2,35.4
70,1,26.4
182,1,19.8
112,1,162.72
373,1,20.4
79,2,105
248,1,102
231,1,25.5
70,3,19.92
68,1,106.2
3,16,91.8
50,3,69.6
74,1,12.75
60,1,30
15,2,39.8
3,1,25.28
285,1,18.6
3,6,30
40,1,35.8
35,1,78.96
74,2,25.2
14,7,62.4
218,1,17.7
185,1,22.5
32,4,51
69,1,35.4
182,1,67.5
14,2,79.9
235,1,60
30,5,157.92
263,1,25.5
3,2,34
51,4,127.5
245,1,65.4
80,2,74
274,1,19.8
0,17,158.4
78,1,30
29,5,102
73,2,35.7
16,6,60
222,2,53.1
31,4,71.9
22,10,119.9
30,3,102
105,1,30.24
4,2,47.7
245,1,40.8
177,2,20.4
169,2,39.84
42,1,23.4
71,1,70.8
58,7,175.2
15,2,59.4
140,4,40.8
17,6,204
9,4,40.8
367,1,69.3
188,1,20.4
361,1,52.2
18,1,10.5
67,2,35.7
14,6,39
23,3,38.25
16,11,43.8
54,2,15
33,4,79.9
2,12,89.1
365,1,102
42,1,23.4
72,6,117
4,5,101.4
60,2,24.75
46,7,39.95
0,4,51
75,2,76.2
71,2,52.2
68,2,25
134,4,195.6
240,1,12.75
8,13,44.55
8,13,163.2
36,3,29.75
45,1,90
84,5,153
18,10,51
18,15,105.6
77,1,81.6
23,6,83.4
368,1,51
14,7,35.8
25,1,16.4
261,1,30
16,13,162.72
90,2,165
301,7,30
25,5,41.25
363,1,17.7
45,4,53.7
37,21,67.6
51,3,30.6
31,1,64.2
51,3,50
78,5,60
297,1,3.75
176,1,52
28,7,49.92
10,7,49.75
86,17,136
4,18,126
37,2,54.08
17,5,41.6
44,5,62.5
372,1,79.95
57,1,41.6
113,3,40.8
214,1,29.7
318,1,35.4
64,1,69.3
7,3,49.8
96,1,60
19,3,79.9
198,1,89.7
3,13,33.15
293,1,34
272,2,47.7
30,11,204
47,3,60
259,1,29.85
57,5,39.95
32,5,38.25
56,1,23.4
67,4,69.3
9,11,65.7
59,1,45
79,2,17.7
73,2,25.2
99,2,30
371,1,31.8
9,13,102
19,1,47.6
122,2,29.5
7,1,19.8
3,6,35.4
28,7,38.25
281,2,27.65
56,1,25.5
0,10,21
364,1,29.75
88,1,49.5
10,1,31.8
162,4,74.85
64,1,23.4
22,3,50
173,2,29.7
102,4,39.6
142,3,33
98,2,61.2
22,5,20.8
191,1,59.4
4,2,35.4
360,1,119.6
7,10,60.48
13,21,135
102,4,23.4
2,9,79.9
10,11,59.9
95,1,35.4
226,1,39.8
15,2,45
38,2,93.6
50,1,24.9
92,2,25.2
156,1,30.6
38,1,22.5
183,3,62.5
0,4,81.36
227,1,30
127,2,22.5
39,2,76.32
30,11,175.2
196,2,165
36,6,95.2
100,3,66
42,16,142.8
49,1,30
42,1,25.5
52,1,46.8
186,1,19.9
333,1,31.6
3,3,39.6
9,2,39.95
23,2,30
14,1,17.7
368,1,83.4
144,2,49.95
59,2,40.8
30,2,50
140,3,45
22,4,40.8
21,6,70.8
76,3,169.6
66,5,39.8
11,6,25
83,1,9.5
30,7,57.75
66,3,119.4
186,2,25
37,2,30
14,3,23.8
34,1,25.5
194,3,51
1,5,17
0,5,25
366,1,12.6
64,1,15
298,2,25.5
25,3,30
7,6,49.5
16,3,46.8
28,1,20.8
3,16,91.8
4,7,122.4
81,4,101.76
28,5,78.96
71,1,77.76
3,8,19.9
28,11,76.5
289,1,60
35,1,50
8,6,149.85
23,2,19.8
276,1,122.4
49,6,37.5
155,11,67.5
60,1,12.6
11,19,150
20,3,49.5
370,1,34
115,3,201.6
79,17,75
3,7,39.6
25,3,51
4,21,26.55
52,1,11.4
0,2,56.25
54,2,35.4
25,1,20.8
51,3,49.5
12,9,47.7
211,3,75
21,19,62.4
235,1,31.2
138,3,50.4
56,3,163.2
134,3,47.85
108,2,37.44
29,1,20.8
0,9,141.6
184,4,50.85
17,1,59.8
238,2,79.2
86,1,30
38,3,31.2
115,1,23.12
186,1,17.7
226,1,31.32
188,1,34.8
3,2,24.75
38,3,47.7
37,1,125
266,1,175.2
77,1,17
3,6,175.2
60,1,25.2
12,7,59.4
87,2,111
2,7,187
4,1,33
6,6,178.2
218,1,179
10,5,39.6
29,6,102
287,3,97.5
149,4,189.6
22,2,179
0,11,58.5
85,3,85
4,4,68
50,6,74.25
17,1,39.6
29,1,30
7,3,59
28,3,35.4
2,20,162.72
40,2,75
10,4,42
30,1,20.8
44,3,39.6
60,3,90
184,2,121.68
78,6,39.48
63,1,30
11,2,62.4
15,3,75
245,2,39.6
87,1,30.6
29,1,11.9
137,1,175.2
26,3,35.4
2,5,40.56
31,4,175.2
24,1,208.8
112,3,51
156,1,101.76
84,3,31.8
117,3,62.4
95,6,50
193,1,29.25
27,1,45
130,1,65.7
27,5,65.4
81,3,41.7
29,5,45.36
265,1,152.64
313,4,25.5
20,7,45
58,3,76.5
11,21,85
27,9,63.75
113,1,23.8
27,9,59.4
17,4,34.65
17,4,59.5
35,3,76.32
35,2,61.2
77,1,59.4
21,2,76.32
24,2,17
108,3,99.6
34,2,87
122,5,50
6,6,208.8
27,4,39.8
3,7,162.72
2,9,69.6
49,4,50
321,1,59.4
22,3,70.8
14,4,59.7
1,8,39.8
17,2,25.2
9,4,179
261,1,25.5
158,2,16.5
28,6,40.56
164,1,25.5
46,1,18.72
5,8,25
7,3,97.8
287,1,19.8
317,1,30.6
2,2,30.6
232,1,25.5
118,1,30
161,1,81.6
184,1,29.75
49,1,35.4
151,5,27.04
334,1,30
4,5,81.6
106,2,31.8
15,7,85
275,1,25.5
15,12,165
246,1,180
238,1,195
0,2,99
105,3,170
22,4,102
51,1,19.8
23,1,20.8
74,1,25.5
17,2,69.6
7,2,81.36
31,3,45
21,3,41.6
30,6,33
28,10,30.6
21,2,102
32,7,35.7
283,1,19.9
38,2,56.25
57,2,30
288,1,39.6
78,1,46.8
4,8,142.8
217,1,19.5
43,4,95.2
201,1,81.6
177,3,41.5
55,4,30
56,2,79.2
7,6,180
46,2,72
226,1,49.8
10,7,175.2
105,2,31.8
58,2,195
27,7,60
35,7,140.4
273,2,87
29,1,119.4
23,3,51
53,1,52.2
174,4,106.2
53,1,72
52,1,45
26,8,50
252,1,117.3
39,7,39.95
59,6,85
233,1,65.45
3,10,42.5
31,1,15
23,14,33.9
6,2,76.32
64,1,55.65
309,2,76.5
308,1,102
18,6,201.6
15,8,49.92
95,2,23.7
263,8,175.2
11,10,30
2,2,35.7
34,1,26.56
182,1,35.85
24,2,69.36
12,6,47.6
10,2,90
2,17,41.25
312,1,70.8
107,2,60
52,1,157.92
204,1,35.7
14,1,25
119,1,44.55
3,2,45
362,1,18.75
116,2,15
17,1,17.85
4,2,23.4
40,2,25.44
106,2,89.7
147,2,31.6
207,1,6.75
138,2,21.75
1,3,19.9
126,2,67.5
41,4,141.6
34,1,26.56
227,2,89.1
240,1,39.95
57,1,76.5
59,6,48.75
21,1,17
25,7,60
8,7,60
31,3,90
3,2,30
7,9,75
28,3,30
16,1,9.95
100,2,83.2
11,4,67.6
20,1,13.52
14,5,90
360,1,20.28
94,1,12.6
77,2,144
24,8,76.2
1,38,175.2
99,3,66.6
7,2,41.25
14,7,20.8
17,4,139.2
279,1,19.8
13,2,68.58
22,2,99
123,1,175.2
85,1,39.6
301,2,70.2
150,4,38.35
16,8,51
93,2,82.8
156,3,51
354,1,35.7
45,1,25
14,4,40.8
3,15,45.76
14,5,39.6
178,1,42.5
7,4,122.04
35,3,135
311,1,29.7
23,2,75.46
302,2,17.7
10,1,25.5
16,3,24.75
48,3,45
238,2,35.95
0,11,69.36
12,8,71.4
237,1,17.4
72,4,24.96
16,3,47.7
40,8,35.4
39,4,39
218,2,35.7
198,3,21.25
70,2,23.4
23,20,153
10,1,23.1
64,1,50.4
3,1,21.8
14,1,25
19,2,50
163,2,203.52
306,2,33.6
218,1,155.52
21,2,49.5
114,3,43.8
125,5,60
35,1,35.4
0,3,53.1
162,1,19.9
184,2,119.6
15,5,72
11,3,50
2,7,54
79,1,170
29,7,207.5
41,2,33
10,12,85
49,3,39.6
15,6,60
45,2,102
18,2,70.2
71,1,70.8
127,3,35.4
32,2,39
312,1,34.8
17,2,31.6
87,1,15
1,7,83.4
1,2,45.9
253,1,35.7
156,3,102
36,6,49.8
176,2,15.3
39,2,40.56
1,7,30
0,7,45
17,2,61.2
191,4,39.8
203,1,19.9
364,1,35.4
14,1,17.7
42,2,30.24
93,6,50.4
22,3,29.7
59,2,102
15,5,35.7
157,1,71.4
9,2,38.25
9,2,30
15,5,49.5
44,5,47.7
190,3,20.4
78,1,26.1
77,1,39.6
3,4,46.8
64,3,39.6
260,1,25.2
58,2,30
0,7,131.4
0,10,152.64
247,1,67.5
7,2,35.4
358,1,37.2
75,1,29.7
289,1,40.8
220,2,25.5
8,4,40.56
2,2,53.1
205,9,122.4
161,2,68
75,1,31.6
261,2,23.4
280,1,44.25
57,8,30
24,1,25.5
28,10,138.24
71,1,199.2
127,1,16.6
30,4,25.5
14,5,20.65
308,1,25.5
16,6,89.1
53,1,34
29,3,39.6
1,5,93.6
360,1,37.8
359,1,102
53,4,63.75
0,8,101.7
0,10,39.8
189,1,39.6
53,1,39.6
279,1,17.7
176,1,25.5
29,2,40.8
25,1,16.6
24,2,59.4
269,1,26.4
42,3,102
233,1,30
23,2,47.7
196,3,59.8
358,1,30
59,4,45
0,5,76.32
19,2,17.34
205,1,75
13,3,59.4
94,4,82.5
18,1,15.12
13,7,49.8
23,3,25.5
7,2,39.6
331,1,40.56
49,4,45
70,4,26.1
28,3,30.24
242,1,35.7
7,19,51
217,1,46.8
4,3,30
252,3,47.7
0,25,195
235,1,60
6,2,120
108,4,41.5
59,4,74.25
1,3,49.5
72,7,75.6
3,5,79.8
84,2,39.6
11,2,34.68
22,7,142.8
213,1,207.5
17,1,19.8
238,1,30
216,2,17.4
32,2,11.8
40,5,33.9
6,15,46
52,6,179
22,14,124.8
56,1,18.72
129,3,88.8
5,3,79.9
311,1,15.9
59,1,34
20,3,122.4
32,1,47.7
14,2,35.8
17,4,59
80,1,19.8
5,8,85
169,2,39.95
1,3,19.8
30,4,67.5
35,9,119
18,1,20.8
30,2,25.5
275,1,30
119,2,45
372,1,15.9
0,11,74
218,3,59.4
64,1,24.96
60,4,52.02
137,1,25.5
20,1,34.65
11,10,65.4
24,12,69.12
276,1,19.9
10,7,197.1
72,5,89.5
25,2,61.2
16,12,53.1
140,1,49.8
25,7,59.95
18,2,40.8
3,2,99
65,5,51
0,2,44.85
42,7,179
227,1,31.8
1,6,69
73,2,152.64
0,31,163.2
3,6,50.4
263,1,31.2
52,2,178.4
23,1,33.2
9,6,39.6
43,1,24.75
16,7,174
6,7,81.6
357,2,17.7
126,4,45
136,1,17.4
141,1,34
131,2,118.8
37,8,97.8
235,1,39.6
260,1,30
16,4,81.6
252,1,31.8
29,4,179
34,3,24.96
168,2,99
2,9,51
3,17,150
184,2,51
187,2,30.6
169,1,49.95
10,2,30
44,1,79.9
320,1,17.7
22,11,102
231,1,30
37,15,90
25,4,102
70,3,89.1
15,11,88.8
14,1,27
3,3,29.7
2,13,204
78,4,39.6
372,1,19.9
38,2,101.88
53,3,39.6
1,19,104.04
8,3,39.95
8,2,30.6
18,4,102
112,2,70.8
3,6,60
239,1,31.6
112,1,71.4
177,2,79.2
4,9,40.32
358,1,80.64
0,5,179
18,8,34
16,3,37.44
21,2,30.6
32,1,175.2
262,1,15
50,2,45
158,3,24.9
14,1,25.2
7,3,100.8
12,10,85.92
198,5,102
56,2,10.5
10,2,14.95
96,4,25.5
254,1,20.4
24,3,12.48
20,3,49.5
158,2,89.25
71,2,12.5
52,1,23.6
84,2,15.12
152,4,67.5
280,1,35.4
26,14,58
29,1,19.8
24,1,30.24
179,2,25.2
39,4,39.6
21,3,39.8
21,10,50.85
36,9,60
81,3,70.8
73,1,184.32
10,1,50
3,39,204
12,4,30
13,5,39.8
36,4,5.1
3,3,195
50,1,41.76
4,5,50.8
298,1,65.4
1,3,31.8
32,1,17.7
49,1,14.85
2,3,30
46,1,29.7
41,8,59.7
26,5,125
41,1,19.8
302,1,15
106,1,15
80,9,148.72
217,4,79.9
371,34,107.25
11,2,8.3
184,2,102
372,1,30
5,12,163.2
304,1,39.6
368,1,31.8
2,8,61.2
323,1,90
58,6,102
12,3,25.5
142,1,75
106,5,45
204,1,33
79,5,129.38
184,6,76.45
169,1,79.6
43,1,47.2
173,1,129.36
364,1,30.6
303,1,55.8
2,4,51
3,4,42.5
11,1,11.7
31,3,118.8
128,1,39.9
20,8,72
211,2,47.6
322,2,30
161,1,20.4
55,3,91.8
224,1,21
71,8,149.25
43,1,15
22,1,152.64
172,3,79.9
84,2,15.3
158,1,17.4
189,2,34.8
28,1,16.95
20,1,29.85
70,4,181.25
246,1,16.95
373,1,19.05
8,1,29.88
309,5,34
58,2,33.2
3,1,27.84
44,3,16.95
3,17,76.5
63,4,25
281,1,207.5
132,2,35.7
44,2,71.4
35,5,201.6
133,2,69.96
28,3,25.5
51,2,105
137,2,20.1
4,1,48.75
159,1,25.2
130,1,165.36
7,1,75.6
232,2,49.9
36,1,42.96
71,3,37.5
39,3,177.6
4,12,60.48
198,4,163.2
248,1,12.75
65,1,10.5
170,1,20.65
20,39,125
141,1,10.44
31,2,29.75
37,14,31.8
37,5,72
371,1,19.9
373,1,13.52
165,2,75
210,1,102
241,1,15.95
51,1,49.8
24,3,30
14,13,98.1
371,1,31.75
28,1,79.8
364,1,155.52
35,4,54.08
165,3,127.2
144,1,15.8
21,1,69.5
55,1,20.8
184,1,40.8
11,7,39.95
236,3,46.5
224,2,59
121,4,75
281,1,52.5
73,8,97.8
36,2,19.8
11,2,40.56
361,1,15.9
3,2,25.5
22,1,100
234,1,23.8
256,1,63.6
372,1,12.75
154,2,23.4
27,1,27.04
3,1,7.8
31,5,42.5
80,3,179
107,2,29.95
51,1,9.95
35,1,27.84
152,2,153
98,1,15.3
3,2,88.5
333,1,19.8
64,1,6.84
21,2,31.2
35,3,78
31,3,30.6
153,6,19.95
18,2,35.4
11,21,102
53,1,71.7
24,3,23.9
3,10,76.5
44,1,10.5
202,2,76.32
358,1,23.4
70,1,35.4
6,10,127.5
287,1,35.95
9,1,81.6
22,3,53.1
172,3,75.6
132,2,204
5,14,35.7
74,1,70.8
39,1,39.8
288,1,101.7
25,5,34.5
257,2,45
185,1,46.8
373,1,102
22,10,70.8
7,11,85.92
216,2,76.5
44,4,177.6
35,3,31.6
25,1,30
15,1,90.48
329,2,79.2
273,1,19.8
